time,U_A1,U_B1,temperature
1055,0.0435,0.1675,229.65
1060,0.044,0.166,229.15
1065,0.0415,0.165,231.65
1070,0.042,0.166,231.15
1075,0.041,0.167,232.15
1080,0.0425,0.167,230.65
1085,0.042,0.1675,231.15
1090,0.0425,0.1675,230.65
1095,0.042,0.166,231.15
1100,0.041,0.167,232.15
1105,0.0415,0.168,231.65
1110,0.042,0.168,231.15
1115,0.0405,0.1675,232.65
1120,0.041,0.167,232.15
1125,0.0395,0.167,233.65
1130,0.04,0.167,233.15
1135,0.04,0.168,233.15
1140,0.04,0.1675,233.15
1145,0.0405,0.168,232.65
1150,0.04,0.1675,233.15
1155,0.0395,0.1685,233.65
1160,0.04,0.1685,233.15
1165,0.0405,0.169,232.65
1170,0.039,0.169,234.15
1175,0.0385,0.1665,234.65
1180,0.038,0.167,235.15
1185,0.0375,0.168,235.65
1190,0.038,0.169,235.15
1195,0.0385,0.1695,234.65
1200,0.039,0.1695,234.15
1205,0.0385,0.169,234.65
1210,0.0375,0.168,235.65
1215,0.037,0.1695,236.15
1220,0.0375,0.1695,235.65
1225,0.037,0.1695,236.15
1230,0.038,0.171,235.15
1235,0.037,0.169,236.15
1240,0.037,0.1695,236.15
1245,0.0365,0.169,236.65
1250,0.0355,0.169,237.65
1255,0.036,0.1685,237.15
1260,0.036,0.1675,237.15
1265,0.0365,0.1695,236.65
1270,0.0355,0.1695,237.65
1275,0.0355,0.17,237.65
1280,0.0355,0.17,237.65
1285,0.0355,0.1695,237.65
